Doba handlowa;Doba;Godzina;Krajowe zapotrzebowanie na moc [MW];Godzina szczytu;Data publikacji
"2024-06-14";"2024-06-14";"0";15563;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"1";14875;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"2";14725;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"3";14675;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"4";14575;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"5";15075;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"6";17513;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"7";19163;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"8";19563;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"9";19488;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"10";19150;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"11";19425;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"12";18713;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"13";18675;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"14";18250;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"15";18300;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"16";18750;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"17";19763;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"18";19775;"ZALECANE OSZCZĘDZANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"19";20050;"ZALECANE OSZCZĘDZANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"20";20013;"ZALECANE OSZCZĘDZANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"21";19200;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"22";17888;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-14";"2024-06-14";"23";16438;"ZALECANE UŻYTKOWANIE";"2024-06-14 22:45"
"2024-06-15";"2024-06-15";"0";15313;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"1";14825;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"2";14325;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"3";14088;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"4";13663;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"5";13475;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"6";14450;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"7";16425;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"8";17438;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"9";17638;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"10";17088;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"11";16225;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"12";16575;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"13";16975;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"14";17900;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"15";17025;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"16";16700;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"17";17088;"ZALECANE UŻYTKOWANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"18";17200;"ZALECANE OSZCZĘDZANIE";"2024-06-15 22:32"
"2024-06-15";"2024-06-15";"19";17350;"ZALECANE OSZCZĘDZANIE";"2024-06-15 22:32"
