Doba handlowa;Doba;Godzina;Krajowe zapotrzebowanie na moc [MW];Godzina szczytu;Data publikacji
"2025-03-23";"2025-03-23";"0";14113;"ZALECANE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"1";13600;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"2";12613;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"3";12300;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"4";12475;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"5";12950;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"6";12700;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"7";13350;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"8";13375;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"9";14700;"ZALECANE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"10";15738;"ZALECANE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"11";16300;"ZALECANE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"12";16775;"ZALECANE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"13";17188;"ZALECANE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"14";17300;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"15";17125;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"16";17275;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"17";18195;"ZALECANE OSZCZĘDZANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"18";17650;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"19";18138;"ZALECANE OSZCZĘDZANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"20";17613;"ZALECANE OSZCZĘDZANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"21";16725;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"22";16163;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-23";"2025-03-23";"23";15175;"NORMALNE UŻYTKOWANIE";"2025-03-23 22:25"
"2025-03-24";"2025-03-24";"0";14200;"NORMALNE UŻYTKOWANIE";"2025-03-24 22:28"
"2025-03-24";"2025-03-24";"1";13788;"NORMALNE UŻYTKOWANIE";"2025-03-24 22:28"
"2025-03-24";"2025-03-24";"2";13850;"NORMALNE UŻYTKOWANIE";"2025-03-24 22:28"
"2025-03-24";"2025-03-24";"3";13913;"NORMALNE UŻYTKOWANIE";"2025-03-24 22:28"
"2025-03-24";"2025-03-24";"4";14500;"NORMALNE UŻYTKOWANIE";"2025-03-24 22:28"
"2025-03-24";"2025-03-24";"5";15538;"NORMALNE UŻYTKOWANIE";"2025-03-24 22:28"
"2025-03-24";"2025-03-24";"6";18763;"NORMALNE UŻYTKOWANIE";"2025-03-24 22:28"
