Doba handlowa;Doba;Godzina;Krajowe zapotrzebowanie na moc [MW];Godzina szczytu;Data publikacji
"2024-11-19";"2024-11-19";"0";17050;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"1";16450;"ZALECANE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"2";16200;"ZALECANE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"3";16225;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"4";16688;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"5";17988;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"6";20550;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"7";22350;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"8";23325;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"9";23225;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"10";22538;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"11";23150;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"12";23588;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"13";23588;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"14";23013;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"15";23088;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"16";23500;"ZALECANE OSZCZĘDZANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"17";23238;"ZALECANE OSZCZĘDZANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"18";22838;"ZALECANE OSZCZĘDZANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"19";22638;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"20";22150;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"21";20700;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"22";18800;"NORMALNE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-19";"2024-11-19";"23";17650;"ZALECANE UŻYTKOWANIE";"2024-11-19 22:27"
"2024-11-20";"2024-11-20";"0";16725;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"1";15938;"ZALECANE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"2";15850;"ZALECANE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"3";16025;"ZALECANE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"4";16488;"ZALECANE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"5";17538;"ZALECANE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"6";20363;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"7";21913;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"8";22638;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"9";22925;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"10";23088;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"11";23525;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"12";23688;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"13";23775;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"14";23613;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"15";23238;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"16";24175;"ZALECANE OSZCZĘDZANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"17";23700;"ZALECANE OSZCZĘDZANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"18";23263;"ZALECANE OSZCZĘDZANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"19";22675;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"20";22150;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"21";20563;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"22";19125;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-20";"2024-11-20";"23";17850;"NORMALNE UŻYTKOWANIE";"2024-11-20 22:30"
"2024-11-21";"2024-11-21";"0";17000;"ZALECANE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"1";16463;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"2";16150;"ZALECANE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"3";16175;"ZALECANE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"4";16663;"ZALECANE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"5";17763;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"6";20625;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"7";22363;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"8";23213;"ZALECANE OSZCZĘDZANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"9";23363;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"10";23613;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"11";23250;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"12";23138;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"13";23581;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"14";23838;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"15";24287;"ZALECANE OSZCZĘDZANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"16";24663;"ZALECANE OSZCZĘDZANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"17";24288;"ZALECANE OSZCZĘDZANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"18";23738;"ZALECANE OSZCZĘDZANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"19";23575;"ZALECANE OSZCZĘDZANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"20";22825;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"21";21163;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"22";19600;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-21";"2024-11-21";"23";18200;"NORMALNE UŻYTKOWANIE";"2024-11-21 22:26"
"2024-11-22";"2024-11-22";"0";17450;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"1";17188;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"2";16950;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"3";16875;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"4";17338;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"5";18375;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"6";20900;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"7";22650;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"8";23463;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"9";23850;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"10";23975;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"11";24150;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"12";24163;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"13";24225;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"14";24038;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"15";23913;"ZALECANE OSZCZĘDZANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"16";24575;"ZALECANE OSZCZĘDZANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"17";24463;"ZALECANE OSZCZĘDZANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"18";23988;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"19";23788;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"20";22838;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"21";21163;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"22";19775;"NORMALNE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-22";"2024-11-22";"23";18400;"ZALECANE UŻYTKOWANIE";"2024-11-22 22:30"
"2024-11-23";"2024-11-23";"0";17275;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"1";16500;"ZALECANE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"2";16375;"ZALECANE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"3";16400;"ZALECANE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"4";16538;"ZALECANE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"5";16963;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"6";17875;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"7";18825;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"8";20050;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"9";20725;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"10";20800;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"11";20725;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"12";20650;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"13";20588;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"14";20625;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"15";20925;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"16";21463;"ZALECANE OSZCZĘDZANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"17";21025;"ZALECANE OSZCZĘDZANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"18";20713;"ZALECANE OSZCZĘDZANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"19";20050;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"20";19388;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"21";18588;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"22";17538;"NORMALNE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-23";"2024-11-23";"23";16212;"ZALECANE UŻYTKOWANIE";"2024-11-23 22:41"
"2024-11-24";"2024-11-24";"0";15875;"ZALECANE UŻYTKOWANIE";"2024-11-24 22:43"
"2024-11-24";"2024-11-24";"1";15450;"ZALECANE UŻYTKOWANIE";"2024-11-24 22:43"
"2024-11-24";"2024-11-24";"2";14775;"ZALECANE UŻYTKOWANIE";"2024-11-24 22:43"
"2024-11-24";"2024-11-24";"3";14700;"ZALECANE UŻYTKOWANIE";"2024-11-24 22:43"
"2024-11-24";"2024-11-24";"4";14763;"ZALECANE UŻYTKOWANIE";"2024-11-24 22:43"
"2024-11-24";"2024-11-24";"5";15150;"NORMALNE UŻYTKOWANIE";"2024-11-24 22:43"
"2024-11-24";"2024-11-24";"6";15563;"NORMALNE UŻYTKOWANIE";"2024-11-24 22:43"
"2024-11-24";"2024-11-24";"7";16365;"NORMALNE UŻYTKOWANIE";"2024-11-24 22:43"
