Rok;Dzień;Godzina;Krajowe zapotrzebowanie na moc [MW];Produkcja [MW]
2025;23;0;14113;16212.342830602247
2025;23;1;13600;15572.347139765763
2025;23;2;12613;14742.537707620138
2025;23;3;12300;14604.605971281606
2025;23;4;12475;14428.169325055333
2025;23;5;12950;14903.172608610164
2025;23;6;12700;17015.84256310148
2025;23;7;13350;17503.48694583058
2025;23;8;13375;17281.10512281301
2025;23;9;14700;18808.512008717193
2025;23;10;15738;19645.31646143751
2025;23;11;16300;20206.85404928595
2025;23;12;16775;20823.392454313205
2025;23;13;17188;20805.34395106844
2025;23;14;17300;20955.016433497392
2025;23;15;17125;21012.542494151807
2025;23;16;17275;21072.433775933114
2025;23;17;18195;22257.849466519056
2025;23;18;17650;21468.39518489576
2025;23;19;18138;19855.53925973294
2025;23;20;17613;19906.12975378431
2025;23;21;16725;18679.84473990269
2025;23;22;16163;18176.505640937587
2025;23;23;15175;16890.05036275731
2025;24;0;14200;16091.123455094963
2025;24;1;13788;15810.184517941972
2025;24;2;13850;15619.801284515539
2025;24;3;13913;15988.139603669135
2025;24;4;14500;16379.872262016239
2025;24;5;15538;17479.661250041343
2025;24;6;18763;22642.658677554122
2025;24;7;20275;24645.45563690179
2025;24;8;21048;25045.300555052414
2025;24;9;21050;24838.45781420882
2025;24;10;21288;25452.508982420637
2025;24;11;21150;24905.831270005794
2025;24;12;21275;25316.77271900095
2025;24;13;21275;24883.065975224046
2025;24;14;21388;25122.362790220315
2025;24;15;21338;25377.372247173826
2025;24;16;21388;25535.69331599908
2025;24;17;21600;25634.273656237994
2025;24;18;22525;26501.87034352235
2025;24;19;22538;24477.779260882144
2025;24;20;21750;23454.295601926515
2025;24;21;20238;22094.031158321057
2025;24;22;18750;20657.87224580804
2025;24;23;17400;19611.42444524378
2025;25;0;16575;18643.72365791369
2025;25;1;16063;17710.39196892745
2025;25;2;15900;17964.81679387896
2025;25;3;15975;17897.983543916736
2025;25;4;16625;18489.615599938807
2025;25;5;17400;19522.335257768173
2025;25;6;19625;23831.19990449919
2025;25;7;21100;25286.25602382324
2025;25;8;21063;24895.156495355473
2025;25;9;20588;24526.157524829756
2025;25;10;18875;22941.252686280714
2025;25;11;18150;22345.10902542447
2025;25;12;18275;22179.16515243094
2025;25;13;18163;22125.868204667237
2025;25;14;18550;22328.733005198796
2025;25;15;19700;23460.758675183864
2025;25;16;20863;25025.50516447884
2025;25;17;21450;25721.248005714166
2025;25;18;21813;25798.597975683933
2025;25;19;22088;24288.706579578404
2025;25;20;21313;23385.327205009526
2025;25;21;19788;21658.976049078974
2025;25;22;18800;20872.27912110168
2025;25;23;17638;19945.607313293192
2025;26;0;16188;18180.83479217801
2025;26;1;16013;18325.9287311628
2025;26;2;15650;17126.05097918205
2025;26;3;15750;17914.380500875046
2025;26;4;16388;18405.409413647634
2025;26;5;17100;19040.198529906826
2025;26;6;19613;23631.3521553071
2025;26;7;20538;24140.486217079822
2025;26;8;20900;24856.0656224325
2025;26;9;20488;24559.42251430235
2025;26;10;20163;24458.578808948303
2025;26;11;20013;23909.34595634527
2025;26;12;20725;24563.30127942136
2025;26;13;20450;24349.648591283094
2025;26;14;21048;25231.080423540414
2025;26;15;21250;25315.750221931936
2025;26;16;21300;25194.047959246593
2025;26;17;21463;25565.653486622672
2025;26;18;22000;26019.415509869606
2025;26;19;22313;24506.728998106577
2025;26;20;21263;23122.58938122453
2025;26;21;19900;21834.467570680445
2025;26;22;18500;20421.57836937357
2025;26;23;17238;18945.297010373575
2025;27;0;15863;17922.224055412917
2025;27;1;15813;17865.21105443598
2025;27;2;15675;17676.022691328493
2025;27;3;15413;17366.08257332497
2025;27;4;15913;17629.925851589916
2025;27;5;16638;18553.87093544693
2025;27;6;19300;23231.457096694645
2025;27;7;20838;24677.544546155677
2025;27;8;21325;25292.7428576668
2025;27;9;21525;25605.810171362908
2025;27;10;20650;25027.237180242108
2025;27;11;20900;24934.915562566366
2025;27;12;21050;25101.510078144554
2025;27;13;21238;25223.110816846765
2025;27;14;20888;24504.245756940192
2025;27;15;21325;25319.697224910156
2025;27;16;21625;25637.046041988204
2025;27;17;21563;26055.648422497055
2025;27;18;22025;25986.527807043774
2025;27;19;22213;24273.309468466723
2025;27;20;21525;23518.05764605895
2025;27;21;20000;21766.264392476092
2025;27;22;18425;20653.564562903004
2025;27;23;17213;19363.386606537355
2025;28;0;16463;18621.20638940861
2025;28;1;16125;17943.12250904105
2025;28;2;15913;18193.55886218722
2025;28;3;16288;18007.629787441543
